Time,rep1,rep2,rep3,rep4
23.33998,-0.05542779,-0.05391173,-0.0508149,-0.0523563
23.45998,-0.05558249,-0.05399993,-0.0509379,-0.0523114
23.57998,-0.05565379,-0.05416813,-0.0510164,-0.0523918
23.69998,-0.05575729,-0.05426403,-0.0510392,-0.0525131
23.81998,-0.05580079,-0.05446063,-0.0511076,-0.0526401
23.93998,-0.05590129,-0.05441873,-0.0511542,-0.0527599
24.05998,-0.05602759,-0.05447393,-0.051322,-0.0527869
24.17998,-0.05612859,-0.05455413,-0.0513935,-0.0529
24.29998,-0.05629109,-0.05474353,-0.0514871,-0.0530265
24.41998,-0.05633299,-0.05490303,-0.0516462,-0.0531064
24.53998,-0.05632179,-0.05496433,-0.0515928,-0.0532043
24.65998,-0.05642659,-0.05499383,-0.0516916,-0.0532978
24.77998,-0.05658509,-0.05508083,-0.0518119,-0.0532971
24.89998,-0.05662609,-0.05519953,-0.0519013,-0.0533757
25.01998,-0.05673649,-0.05526463,-0.0519403,-0.05351
25.13998,-0.05674659,-0.05530253,-0.052043,-0.0535906
25.25998,-0.05680789,-0.05537773,-0.0520997,-0.0536791
25.37998,-0.05698149,-0.05545923,-0.0521866,-0.0537461
25.49998,-0.05705559,-0.05559513,-0.0522097,-0.053813
25.61998,-0.05716679,-0.05570093,-0.0522197,-0.053912
25.73997,-0.05717889,-0.05576363,-0.0523039,-0.0540177
25.85997,-0.05726579,-0.05580883,-0.0523625,-0.05408
25.97997,-0.05736559,-0.05583073,-0.0524659,-0.0541695
26.09997,-0.05745309,-0.05598943,-0.0525797,-0.0541964
26.21997,-0.05756749,-0.05607763,-0.0525855,-0.0542921
26.33997,-0.05760799,-0.05616693,-0.0526123,-0.0543677
26.45997,-0.05767579,-0.05616803,-0.0527364,-0.0544135
26.57997,-0.05776839,-0.05625763,-0.0529313,-0.0544835
26.69997,-0.05793339,-0.05633373,-0.0528754,-0.0545331
26.81997,-0.05792269,-0.05645203,-0.0529073,-0.0545871
26.93997,-0.05798819,-0.05653743,-0.0529018,-0.0547314
27.05997,-0.05801419,-0.05658663,-0.0529932,-0.054763
27.17997,-0.05808749,-0.05665533,-0.0531268,-0.0548335
27.29997,-0.05822759,-0.05669173,-0.0532383,-0.0548539
27.41997,-0.05828189,-0.05677533,-0.0532834,-0.0549099
27.53997,-0.05835099,-0.05692273,-0.0532352,-0.054988
27.65997,-0.05837909,-0.05701203,-0.053266,-0.0550988
27.77997,-0.05846429,-0.05693243,-0.0533682,-0.0551808
27.89997,-0.05853639,-0.05699063,-0.0534549,-0.0552231
28.01997,-0.05862299,-0.05718793,-0.0534602,-0.0552432
28.13997,-0.05870139,-0.05726893,-0.0535063,-0.0553287
28.25997,-0.05873759,-0.05725463,-0.0535449,-0.0554415
28.37997,-0.05874499,-0.05730123,-0.0536213,-0.0554732
28.49997,-0.05898759,-0.05732733,-0.0536932,-0.0554941
28.61997,-0.05946449,-0.05738793,-0.0537701,-0.0555325
28.73997,-0.05932729,-0.05752953,-0.0537842,-0.0555821
28.85997,-0.05927439,-0.05760533,-0.0537695,-0.0557147
28.97997,-0.05936039,-0.05764443,-0.05384,-0.0557516
29.09997,-0.05923349,-0.05768003,-0.0539491,-0.0557855
29.21997,-0.05920449,-0.05772243,-0.0540051,-0.0558446
29.33997,-0.05927609,-0.05785383,-0.0540371,-0.0558951
29.45997,-0.05934119,-0.05793003,-0.0541869,-0.0559238
29.57997,-0.05935769,-0.05797843,-0.0540899,-0.0560582
29.69997,-0.05944009,-0.05798673,-0.0543128,-0.0561484
29.81997,-0.05954969,-0.05805053,-0.0546911,-0.0560737
29.93997,-0.05960039,-0.05804753,-0.0546517,-0.0561653
30.05997,-0.05966039,-0.05818563,-0.0546474,-0.0562321
30.17997,-0.05971409,-0.05822943,-0.0546851,-0.0563129
30.29997,-0.05977729,-0.05824073,-0.054376,-0.0563617
30.41997,-0.05985049,-0.05829563,-0.0544665,-0.0563494
30.53997,-0.05992069,-0.05836583,-0.0545216,-0.0563708
30.65997,-0.05998109,-0.05846203,-0.0545112,-0.0564585
30.77997,-0.05999489,-0.05850323,-0.0545475,-0.0565575
30.89997,-0.06002679,-0.05855643,-0.0546011,-0.0565835
31.01997,-0.06006859,-0.05856663,-0.0546715,-0.0566541
31.13997,-0.06020419,-0.05860613,-0.0547509,-0.0566359
31.25997,-0.06026529,-0.05869933,-0.0547634,-0.0566659
31.37997,-0.06034719,-0.05876763,-0.0547915,-0.0567505
31.49997,-0.06020629,-0.05881433,-0.0548161,-0.0567802
31.61997,-0.06032889,-0.05881743,-0.0548382,-0.0568306
31.73997,-0.06035369,-0.05882503,-0.0549584,-0.0567934
31.85997,-0.06038419,-0.05889713,-0.0549827,-0.0568463
31.97997,-0.06041479,-0.05900013,-0.0550057,-0.056926
32.09997,-0.06043349,-0.05902383,-0.0550161,-0.0570046
32.21997,-0.06054159,-0.05904673,-0.0550229,-0.0570515
32.33997,-0.06060139,-0.05907643,-0.0551136,-0.0570499
32.45997,-0.06067539,-0.05910413,-0.0551614,-0.0570865
32.57997,-0.06075569,-0.05922803,-0.0551421,-0.0570854
32.69997,-0.06078539,-0.05931383,-0.0551255,-0.0572244
32.81997,-0.06070409,-0.05923883,-0.0551405,-0.0572488
32.93997,-0.06070099,-0.05922843,-0.0552376,-0.0572423
33.05997,-0.06078699,-0.05925933,-0.0553377,-0.0572696
33.17997,-0.06089289,-0.05937523,-0.0554332,-0.057337
33.29997,-0.06093659,-0.05951033,-0.0554537,-0.057374
33.41997,-0.06091959,-0.05949723,-0.0553072,-0.0574497
33.53997,-0.06095429,-0.05949373,-0.0553742,-0.0574946
33.65997,-0.06105029,-0.05955223,-0.0554411,-0.0574757
33.77997,-0.06111709,-0.05961033,-0.0554644,-0.0574787
33.89997,-0.06114139,-0.05967033,-0.0554878,-0.0575456
34.01997,-0.06117629,-0.05966843,-0.0554734,-0.057651
34.13997,-0.06112779,-0.05966673,-0.0555275,-0.0578491
34.25997,-0.06113229,-0.05966043,-0.0556263,-0.0576466
34.37997,-0.06122519,-0.05974053,-0.0556538,-0.0576613
34.49997,-0.06125689,-0.05981503,-0.055788,-0.0576999
34.61997,-0.06121449,-0.05989053,-0.0556445,-0.0578234
34.73997,-0.06127669,-0.05988193,-0.0556913,-0.0578935
34.85997,-0.06135529,-0.05988533,-0.0557353,-0.0578967
34.97997,-0.06144549,-0.05993733,-0.0558035,-0.05791
35.09997,-0.06147819,-0.05999003,-0.0557973,-0.0579781
35.21997,-0.06150469,-0.06002523,-0.0557766,-0.0580133
35.33997,-0.06151289,-0.06005163,-0.0557765,-0.0580704
