Time,rep1,rep2,rep3,rep4,rep5
38.33996,-0.07878872,-0.07523134,-0.0740791,-0.06824296,-0.07120468
38.45996,-0.07874822,-0.07520004,-0.0740253,-0.06820256,-0.07116998
38.57996,-0.07877322,-0.07517524,-0.0740234,-0.06823246,-0.07112188
38.69996,-0.07879282,-0.07513114,-0.0740306,-0.06834176,-0.07118148
38.81996,-0.07882172,-0.07518274,-0.0740986,-0.06843696,-0.07120728
38.93996,-0.07876622,-0.07519074,-0.0740705,-0.06825926,-0.07117738
39.05996,-0.07874802,-0.07521794,-0.0740407,-0.06816576,-0.07116548
39.17996,-0.07875582,-0.07518524,-0.0740262,-0.06820046,-0.07111638
39.29996,-0.07875092,-0.07518054,-0.0740503,-0.06818586,-0.07114928
39.41996,-0.07879022,-0.07517094,-0.0740499,-0.06827326,-0.07121868
39.53996,-0.07876912,-0.07519644,-0.0740945,-0.06832666,-0.07120298
39.65996,-0.07874122,-0.07524444,-0.0740335,-0.06838566,-0.07117218
39.77996,-0.07877782,-0.07520894,-0.0740176,-0.06821656,-0.07113308
39.89996,-0.07872932,-0.07518354,-0.0739611,-0.06819676,-0.07116388
40.01996,-0.07873012,-0.07523064,-0.0740518,-0.06823766,-0.07119408
40.13996,-0.07871622,-0.07521924,-0.074115,-0.06830326,-0.07127228
40.25996,-0.07870202,-0.07526884,-0.0740861,-0.06821966,-0.07114338
40.37996,-0.07868332,-0.07522744,-0.0740289,-0.06815466,-0.07115588
40.49996,-0.07867462,-0.07526174,-0.0739839,-0.06816046,-0.07113848
40.61996,-0.07869742,-0.07528754,-0.0740233,-0.06821656,-0.07124048
40.73996,-0.07874082,-0.07524564,-0.0740571,-0.06825826,-0.07120068
40.85996,-0.07870042,-0.07523754,-0.074037,-0.06822526,-0.07123698
40.97996,-0.07870302,-0.07532724,-0.0740228,-0.06821426,-0.07120008
41.09996,-0.07864682,-0.07537504,-0.0740103,-0.06816866,-0.07120238
41.21996,-0.07862892,-0.07516894,-0.073989,-0.06819876,-0.07134668
41.33996,-0.07874332,-0.07520744,-0.0740336,-0.06822676,-0.07134498
41.45996,-0.07872532,-0.07524514,-0.07404,-0.06824646,-0.07127508
41.57996,-0.07869532,-0.07523924,-0.0740673,-0.06815926,-0.07122938
41.69996,-0.07866742,-0.07523694,-0.0740694,-0.06810846,-0.07119248
41.81996,-0.07867012,-0.07520274,-0.07405,-0.06814246,-0.07119988
