family,assay_type,spearman,model
TAT_HV1BR_Fernandes_2016,OrganismalFitness,0.2084498114929137,m1
TPMT_HUMAN_Matreyek_2018,Expression,0.5358709262972376,m1
A4GRB6_PSEAI_Chen_2020,OrganismalFitness,0.6583719720072779,m1
SRC_HUMAN_Nguyen_2022,OrganismalFitness,0.4246558535002015,m1
POLG_PESV_Tsuboyama_2023_2MXD,Stability,0.5768447120202463,m1
CP2C9_HUMAN_Amorosi_2021_abundance,Expression,0.6110464159545067,m1
AICDA_HUMAN_Gajula_2014_3cycles,Activity,0.3705292839377513,m1
KKA2_KLEPN_Melnikov_2014,OrganismalFitness,0.5489502805875929,m1
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,Binding,0.2518902547004476,m1
HEM3_HUMAN_Loggerenberg_2023,Activity,0.4342455134006295,m1
TRPC_THEMA_Chan_2017,OrganismalFitness,0.468416952894887,m1
PPARG_HUMAN_Majithia_2016,Activity,0.2926828792292177,m1
HECD1_HUMAN_Tsuboyama_2023_3DKM,Stability,0.3457318925296256,m1
THO1_YEAST_Tsuboyama_2023_2WQG,Stability,0.51100768508628,m1
SR43C_ARATH_Tsuboyama_2023_2N88,Stability,0.6844267469199132,m1
LGK_LIPST_Klesmith_2015,Activity,0.4612526749016728,m1
HXK4_HUMAN_Gersing_2023_abundance,Expression,0.3735621940024015,m1
A0A1I9GEU1_NEIME_Kennouche_2019,Activity,0.0473404673772038,m1
CBX4_HUMAN_Tsuboyama_2023_2K28,Stability,0.6954913902672601,m1
SPTN1_CHICK_Tsuboyama_2023_1TUD,Stability,0.7026334976934867,m1
P53_HUMAN_Kotler_2018,OrganismalFitness,0.6284125084721048,m1
RD23A_HUMAN_Tsuboyama_2023_1IFY,Stability,0.5154669167477468,m1
ACE2_HUMAN_Chan_2020,Binding,0.2455009144181327,m1
PA_I34A1_Wu_2015,OrganismalFitness,0.3509041207611653,m1
MYO3_YEAST_Tsuboyama_2023_2BTT,Stability,0.3866319704337533,m1
KCNJ2_MOUSE_Coyote-Maestas_2022_function,Activity,0.3388242794815463,m1
KCNE1_HUMAN_Muhammad_2023_function,Activity,0.5318399466610764,m1
EPHB2_HUMAN_Tsuboyama_2023_1F0M,Stability,0.819020020322142,m1
GLPA_HUMAN_Elazar_2016,Expression,0.4319292691086831,m1
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,Stability,0.5693002005850124,m1
RCRO_LAMBD_Tsuboyama_2023_1ORC,Stability,0.6084619288938368,m1
RL40A_YEAST_Mavor_2016,OrganismalFitness,0.4921904832535702,m1
DLG4_HUMAN_Faure_2021,OrganismalFitness,0.6440917235570767,m1
ANCSZ_Hobbs_2022,Activity,0.5308113806221549,m1
DYR_ECOLI_Nguyen_2023,OrganismalFitness,0.5236480400448844,m1
RBP1_HUMAN_Tsuboyama_2023_2KWH,Stability,0.4012009515481203,m1
ISDH_STAAW_Tsuboyama_2023_2LHR,Stability,0.3985358513431359,m1
PRKN_HUMAN_Clausen_2023,Expression,0.5520670343675286,m1
PTEN_HUMAN_Matreyek_2021,Expression,0.4569072319971284,m1
A0A247D711_LISMN_Stadelmann_2021,Activity,0.3344427042185271,m1
BLAT_ECOLX_Jacquier_2013,OrganismalFitness,0.6701385602405616,m1
MAFG_MOUSE_Tsuboyama_2023_1K1V,Stability,0.6482772362861277,m1
RL40A_YEAST_Roscoe_2014,Activity,0.5262798475170654,m1
BLAT_ECOLX_Stiffler_2015,OrganismalFitness,0.7107667082610943,m1
RL40A_YEAST_Roscoe_2013,OrganismalFitness,0.5514402521556722,m1
OTU7A_HUMAN_Tsuboyama_2023_2L2D,Stability,0.511131133458029,m1
VKOR1_HUMAN_Chiasson_2020_abundance,Expression,0.5078678402121056,m1
VG08_BPP22_Tsuboyama_2023_2GP8,Stability,0.3829955660000352,m1
SAV1_MOUSE_Tsuboyama_2023_2YSB,Stability,0.4278703570479473,m1
CUE1_YEAST_Tsuboyama_2023_2MYX,Stability,0.4695937557571851,m1
SDA_BACSU_Tsuboyama_2023_1PV0,Stability,0.5105961556110545,m1
MSH2_HUMAN_Jia_2020,OrganismalFitness,0.3800129696533306,m1
PITX2_HUMAN_Tsuboyama_2023_2L7M,Stability,0.5149043956996227,m1
PAI1_HUMAN_Huttinger_2021,Activity,0.411370885933831,m1
CBS_HUMAN_Sun_2020,OrganismalFitness,0.3683901905497749,m1
DN7A_SACS2_Tsuboyama_2023_1JIC,Stability,0.4381434470481606,m1
OPSD_HUMAN_Wan_2019,Expression,0.489562685331125,m1
CP2C9_HUMAN_Amorosi_2021_activity,Binding,0.6584479949973685,m1
SC6A4_HUMAN_Young_2021,Activity,0.4433336270763314,m1
TPK1_HUMAN_Weile_2017,OrganismalFitness,0.2710184269412398,m1
UBC9_HUMAN_Weile_2017,OrganismalFitness,0.5024799490334749,m1
HXK4_HUMAN_Gersing_2022_activity,OrganismalFitness,0.4878152805492853,m1
ILF3_HUMAN_Tsuboyama_2023_2L33,Stability,0.4232358315582581,m1
RL20_AQUAE_Tsuboyama_2023_1GYZ,Stability,0.6809978145892851,m1
SCIN_STAAR_Tsuboyama_2023_2QFF,Stability,0.2315830343503613,m1
RPC1_LAMBD_Li_2019_high-expression,Activity,0.4197033813203044,m1
DYR_ECOLI_Thompson_2019,OrganismalFitness,0.4595690757166641,m1
PTEN_HUMAN_Mighell_2018,Activity,0.5301928250764822,m1
HSP82_YEAST_Mishra_2016,OrganismalFitness,0.5079831462420878,m1
OBSCN_HUMAN_Tsuboyama_2023_1V1C,Stability,0.7457013810965638,m1
NUSA_ECOLI_Tsuboyama_2023_1WCL,Stability,0.6863964816682738,m1
FECA_ECOLI_Tsuboyama_2023_2D1U,Stability,0.4974199792524358,m1
RAD_ANTMA_Tsuboyama_2023_2CJJ,Stability,0.6010488571694782,m1
CAPSD_AAV2S_Sinai_2021,OrganismalFitness,0.2064798323064348,m1
PHOT_CHLRE_Chen_2023,Activity,0.5942374559906866,m1
GDIA_HUMAN_Silverstein_2021,OrganismalFitness,0.4719735129601045,m1
DNJA1_HUMAN_Tsuboyama_2023_2LO1,Stability,0.7773351353135648,m1
MET_HUMAN_Estevam_2023,Activity,0.543561794777571,m1
SPA_STAAU_Tsuboyama_2023_1LP1,Stability,0.3737117034247496,m1
Q6WV12_9MAXI_Somermeyer_2022,Activity,0.3305562302302057,m1
RFAH_ECOLI_Tsuboyama_2023_2LCL,Stability,0.1352067544090641,m1
MTH3_HAEAE_RockahShmuel_2015,OrganismalFitness,0.6131745836956749,m1
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,OrganismalFitness,0.3760108472683668,m1
RCD1_ARATH_Tsuboyama_2023_5OAO,Stability,0.4805197687719882,m1
SRBS1_HUMAN_Tsuboyama_2023_2O2W,Stability,0.6546057381158893,m1
